Metrics-Timestamp,Backlog-00-10-3-RELOAD,T1-00-10-3-RELOAD,T2-00-10-3-RELOAD,Backlog-30-10-1-S3,T1-30-10-1-S3,T2-30-10-1-S3,Backlog-40-00-1-S3,T1-40-00-1-S3,T2-40-00-1-S3,Backlog-40-00-5-S3,T1-40-00-5-S3,T2-40-00-5-S3,Backlog-40-10-1-METADATA,T1-40-10-1-METADATA,T2-40-10-1-METADATA,Backlog-40-10-5-METADATA,T1-40-10-5-METADATA,T2-40-10-5-METADATA,Backlog-40-12-1-S3,T1-40-12-1-S3,T2-40-12-1-S3,Backlog-40-12-5-S3,T1-40-12-5-S3,T2-40-12-5-S3,Backlog-40-14-5-ADDING,T1-40-14-5-ADDING,T2-40-14-5-ADDING,Backlog-40-20-1-FILE,T1-40-20-1-FILE,T2-40-20-1-FILE,Backlog-40-20-5-FILE,T1-40-20-5-FILE,T2-40-20-5-FILE,Backlog-40-30-1-S3,T1-40-30-1-S3,T2-40-30-1-S3,Backlog-40-30-5-S3,T1-40-30-5-S3,T2-40-30-5-S3,Backlog-50-05-1-S3,T1-50-05-1-S3,T2-50-05-1-S3,Backlog-50-05-5-S3,T1-50-05-5-S3,T2-50-05-5-S3,Backlog-50-10-1-UPLOAD,T1-50-10-1-UPLOAD,T2-50-10-1-UPLOAD,Backlog-50-10-5-UPLOAD,T1-50-10-5-UPLOAD,T2-50-10-5-UPLOAD,Backlog-50-20-1-UPLOAD,T1-50-20-1-UPLOAD,T2-50-20-1-UPLOAD,Backlog-50-20-5-UPLOAD,T1-50-20-5-UPLOAD,T2-50-20-5-UPLOAD,Backlog-50-30-0-1,T1-50-30-0-1,T2-50-30-0-1,Backlog-50-30-0-5,T1-50-30-0-5,T2-50-30-0-5,Backlog-50-40-0-1,T1-50-40-0-1,T2-50-40-0-1,Backlog-50-40-0-5,T1-50-40-0-5,T2-50-40-0-5,Backlog-60-10-1-HIVE,T1-60-10-1-HIVE,T2-60-10-1-HIVE,Backlog-60-10-5-HIVE,T1-60-10-5-HIVE,T2-60-10-5-HIVE,Backlog-60-20-1-HIVE,T1-60-20-1-HIVE,T2-60-20-1-HIVE,Backlog-60-20-5-HIVE,T1-60-20-5-HIVE,T2-60-20-5-HIVE,Backlog-70-10-1-HIVE,T1-70-10-1-HIVE,T2-70-10-1-HIVE,Backlog-70-10-5-HIVE,T1-70-10-5-HIVE,T2-70-10-5-HIVE,Backlog-80-10-1-COPY,T1-80-10-1-COPY,T2-80-10-1-COPY,Backlog-80-10-5-COPY,T1-80-10-5-COPY,T2-80-10-5-COPY,Backlog-80-20-1-CLEAN,T1-80-20-1-CLEAN,T2-80-20-1-CLEAN,ClusterImportCPU,ClusterImportDisk,ClusterImportMemory,MetadataGenerationCPU,MetadataGenerationDisk,MetadataGenerationMemory,S3UploadCPU,S3UploadDisk,S3UploadMemory,S3UploadResult
2018-07-21T20:50:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.18397862,25.41154149,0,9.067655165,18.14670853,0,20.3908718,18.17586635,0
2018-07-21T20:55:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.183994192,25.41053866,0,9.067678523,18.14669608,0,20.39201637,18.17134591,0
2018-07-21T21:00:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,6.187085325,25.72429823,4,9.068021117,18.14659649,0,20.39342568,18.17058404,0
2018-07-21T21:05:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184329,25.72289427,0,9.06803669,18.1132082,0,20.3945469,18.1743934,0
2018-07-21T21:10:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184352359,25.72284413,0,9.068067835,18.11239902,0,20.39568369,18.17292045,0
2018-07-21T21:15:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184360145,25.72337061,0,9.068075621,18.11305882,0,20.39684384,18.17154908,0
2018-07-21T21:20:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184375717,25.72254328,0,9.06809898,18.11178902,0,20.3979962,18.17241253,0
2018-07-21T21:25:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.18439129,25.72169088,0,9.068122338,18.11146534,0,20.39911742,18.17226016,0
2018-07-21T21:30:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,2,12,,,,,6,36,,,,,1,6,,2,6.184897395,25.68187864,4,9.068714092,18.15046814,0,20.40071359,18.1750029,0
2018-07-21T21:35:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184905181,25.63251447,0,9.068737451,18.12880683,0,20.40185038,18.17154908,0
2018-07-21T21:40:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.18492854,25.63296574,0,9.068745237,18.13033806,0,20.40301053,18.17352994,0
2018-07-21T21:45:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184944112,25.63141136,0,9.068760809,18.12789806,0,20.40416289,18.17388548,0
2018-07-21T21:50:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.184967471,25.63306602,0,9.068776382,18.12837112,0,20.40529189,18.16982217,0
2018-07-21T21:55:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,6.185411286,26.45774099,32,10.62454275,18.15334386,0,20.40695815,18.17449498,0
2018-07-21T22:00:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,1,6,,1,,,,,,,,,,,,,,,,,,,,,,,,16,6.186322275,26.34893423,13,9.202925317,18.14990793,0,20.40899814,18.17088879,0
2018-07-21T22:05:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.186337847,26.24386301,0,9.071392555,18.10476777,0,20.4101505,18.17449498,0
2018-07-21T22:10:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.186368992,26.24358723,0,9.071415913,18.10344817,0,20.4112795,18.17352994,0
2018-07-21T22:15:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.186400137,26.24451485,0,9.071478203,18.10470552,0,20.41245523,18.1737839,0
2018-07-21T22:20:00Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,6.186423495,26.24496612,0,9.071493776,18.10545246,0,20.4135998,18.1726157,0
