metric_time,backlog_00_10_3_reload,t1_00_10_3_reload,t2_00_10_3_reload,s3uploadcpu,s3uploaddisk,s3uploadmemory,outage
7/15/18 7:25,2493,,,1,18.01882835,13.59381889,0
7/15/18 7:30,2396,,,1,18.02109414,13.62388741,0
7/15/18 7:35,2299,,,1,18.02191948,13.62251605,0
7/15/18 7:40,2207,,,1,18.02345337,13.64760701,0
7/15/18 7:45,2110,,,1,18.02425535,13.65177191,0
7/15/18 7:50,2014,,,1,18.02565687,13.66553639,0
7/15/18 7:55,1918,,,1,18.0269961,13.67391697,0
7/15/18 8:00,1818,,,1,18.02990036,13.69905873,0
7/15/18 8:05,1735,,,1,18.03199486,13.71871502,0
7/15/18 8:10,1630,,,1,18.0332173,13.72374337,0
7/15/18 8:15,1537,,,1,18.03466554,13.73730468,0
7/15/18 8:20,1428,,,1,18.03697805,13.74639635,0
7/15/18 8:25,1330,,,1,18.03848857,13.76442731,0
7/15/18 8:30,1228,,,1,18.04027941,13.77296027,0
7/15/18 8:35,1131,,,1,18.04310581,13.78276301,0
7/15/18 8:40,1030,,,1,18.04365863,13.78738503,0
7/15/18 8:45,926,,,0,18.04482656,13.80678736,0
7/15/18 8:50,825,,,1,18.04623587,13.81339025,0
7/15/18 8:55,722,,,0,18.04769968,13.82050105,0
7/15/18 9:00,622,,,1,18.05075188,13.83360524,0
7/15/18 9:05,544,,,0,18.0514215,13.83609402,0
7/15/18 9:10,447,,,1,18.05328241,13.85712167,0
7/15/18 9:15,341,,,0,18.0540766,13.86900686,0
7/15/18 9:20,233,,,1,18.05544698,13.87428917,0
7/15/18 9:25,124,,,1,18.05680178,13.875305,0
7/15/18 9:30,17,,,1,18.05814102,13.90217367,0
7/15/18 9:35,2,,,1,18.05997078,13.90740519,0
7/15/18 9:40,2,,,1,18.06081169,13.91197642,0
7/15/18 9:45,2,,,1,18.06162925,13.92249024,0
7/15/18 9:50,2,,,1,18.0623923,13.9274678,0
7/15/18 9:55,2,,,0,18.06260253,13.929855,0
7/15/18 10:00,2,,,1,18.06449458,13.947632,0
7/15/18 10:05,2,,,0,18.06541335,13.95545388,0
7/15/18 10:10,2,,,1,18.06565473,13.95580942,0
7/15/18 10:15,2,,,1,18.06661243,13.95738396,0
7/15/18 10:20,2,,,0,18.06683823,13.96693275,0
7/15/18 10:25,2,,,0,18.06714968,13.96805016,0
7/15/18 10:30,2,,,1,18.06760907,13.96693275,0
7/15/18 10:35,2,,,1,18.06899502,13.97561808,0
7/15/18 10:40,2,,,1,18.06935319,13.9784624,0
7/15/18 10:45,2,,,0,18.07013959,13.98592874,0
7/15/18 10:50,2,,,0,18.07045883,13.99171896,0
7/15/18 10:55,2,,,0,18.07070799,13.99324271,0
7/15/18 11:00,2,,,1,18.07161898,13.99872818,0
7/15/18 11:05,2,,,0,18.07182921,14.00294387,0
7/15/18 11:10,2,,,1,18.07204722,14.00020113,0
7/15/18 11:15,2,,,0,18.07226524,14.00558503,0
7/15/18 11:20,2,,,0,18.07272462,14.00787064,0
7/15/18 11:25,2,,,0,18.07293485,14.01691152,0
7/15/18 11:30,2,,,0,18.07350325,14.01823209,0
7/15/18 11:35,2,,,0,18.07376019,14.0288475,0
7/15/18 11:40,2,,,1,18.07406385,14.03748205,0
7/15/18 11:45,2,,,0,18.07428187,14.03534881,0
7/15/18 11:50,2,,,0,18.0744921,14.03555197,0
7/15/18 11:55,2,,,0,18.07471011,14.03854867,0
7/15/18 12:00,2,,,1,18.07574568,14.04667529,0
7/15/18 12:05,2,,,0,18.07595591,14.04682767,0
7/15/18 12:10,2,,,1,18.07617392,14.04616738,0
7/15/18 12:15,2,,,1,18.07650873,14.05937315,0
7/15/18 12:20,2,,,0,18.07682797,14.05805258,0
7/15/18 12:25,2,,,1,18.07735743,14.06120164,0
7/15/18 12:30,2,,,1,18.07783239,14.06277618,0
7/15/18 12:35,2,,,0,18.07803483,14.06130323,0
7/15/18 12:40,2,,,1,18.07826063,14.06876957,0
7/15/18 12:45,2,,,1,18.07905483,14.0697346,0
7/15/18 12:50,2,,,0,18.07927284,14.07811519,0
7/15/18 12:55,2,,,0,18.07949086,14.07862311,0
7/15/18 13:00,2,,,0,18.08056535,14.08156901,0
7/15/18 13:05,2,,,0,18.08093909,14.07994368,0
7/15/18 13:10,2,,,1,18.08150749,14.09198125,0
7/15/18 13:15,2,,,0,18.0817255,14.09142255,0
7/15/18 13:20,2,,,0,18.08193573,14.09838097,0
7/15/18 13:25,2,,,0,18.08216932,14.09899047,0
7/15/18 13:30,2,,,0,18.08262871,14.0993968,0
7/15/18 13:35,2,,,0,18.08284672,14.10960588,0
7/15/18 13:40,2,,,1,18.08306473,14.11163754,0
7/15/18 13:45,2,,,0,18.08328275,14.10996142,0
7/15/18 13:50,2,,,0,18.08349298,14.11615797,0
7/15/18 13:55,2,,,0,18.08371099,14.11595481,0
7/15/18 14:00,2,,,1,18.08417817,14.11864675,0
7/15/18 14:05,2,,,1,18.08439618,14.12601151,0
7/15/18 14:10,2,,,1,18.08461419,14.12575755,0
7/15/18 14:15,2,,,3,18.08485557,14.15795932,0
7/15/18 14:20,10000,,,6,18.08516702,16.80845941,0
7/15/18 14:25,,,,3,18.08538503,17.47692545,0
7/15/18 14:30,9908,,,1,18.08592228,17.44441894,0
7/15/18 14:35,9800,,,1,18.08621037,17.44452052,0
7/15/18 14:40,9693,,,1,18.08649846,17.44380944,0
7/15/18 14:45,9584,,,0,18.08679434,17.44467289,0
7/15/18 14:50,9477,,,0,18.08709021,17.44365706,0
7/15/18 14:55,9370,,,0,18.08737831,17.44472368,0
7/15/18 15:00,9263,,,0,18.08791555,17.44446973,0
7/15/18 15:05,9157,,,1,18.08819586,17.44614584,0
7/15/18 15:10,9049,,,1,18.08848395,17.44741563,0
7/15/18 15:15,8940,,,0,18.08877983,17.44746642,0
7/15/18 15:20,8833,,,0,18.08906792,17.44711088,0
7/15/18 15:25,8724,,,0,18.08935601,17.47438588,0
7/15/18 15:30,8616,,,1,18.08988547,17.47651912,0
7/15/18 15:35,8508,,,0,18.09018135,17.47575725,0
7/15/18 15:40,8399,,,1,18.09046165,17.47575725,0
7/15/18 15:45,8291,,,0,18.09075753,17.47504617,0
7/15/18 15:50,8183,,,0,18.09103783,17.47601121,0
7/15/18 15:55,8076,,,0,18.09133371,17.47804286,0
7/15/18 16:00,7970,,,1,18.09187096,17.52299328,0
7/15/18 16:05,7862,,,0,18.09215905,17.52426307,0
7/15/18 16:10,7754,,,1,18.09244714,17.52395832,0
7/15/18 16:15,7647,,,1,18.09272744,17.52314566,0
